id	acronym	parent	name	
168	268	Retroreuniens thalamic nucleus		Retroreuniens thalamic nucleus
169	270	superior cerebellar peduncle and prerubral field		superior cerebellar peduncle and prerubral field
170	272	Intergeniculate leaflet		Intergeniculate leaflet
171	278	Subparafascicular nucleus		Subparafascicular nucleus
172	280	Fields of Forel		Fields of Forel
173	281	Subgeniculate nucleus		Subgeniculate nucleus
174	282	Ethmoid-Limitans nucleus		Ethmoid-Limitans nucleus
175	283	Lateral posterior thalamic nucleus- lateral part		Lateral posterior thalamic nucleus- lateral part
176	284	Zona incerta- A11 dopamine cells		Zona incerta- A11 dopamine cells
177	285	Lateral posterior thalamic nucleus- mediorostral part		Lateral posterior thalamic nucleus- mediorostral part
178	286	Lateral posterior thalamic nucleus- mediocaudal part		Lateral posterior thalamic nucleus- mediocaudal part
179	287	Zona incerta- caudal part		Zona incerta- caudal part
180	290	intramedullary thalamic area		intramedullary thalamic area
181	291	internal medullary lamina		internal medullary lamina
182	293	Ventral anterior thalamic nucleus		Ventral anterior thalamic nucleus
183	294	Ventral posterolateral thalamic nucleus		Ventral posterolateral thalamic nucleus
184	295	Medial geniculate body- dorsal division		Medial geniculate body- dorsal division
185	297	Medial geniculate body- medial division		Medial geniculate body- medial division
186	298	Medial geniculate body- ventral division		Medial geniculate body- ventral division
187	299	Medial geniculate body- suprageniculate nucleus		Medial geniculate body- suprageniculate nucleus
188	400	Ventrolateral orbital area		Ventrolateral orbital area
189	401	Lateral orbital area		Lateral orbital area
190	402	Ventral orbital area		Ventral orbital area
191	403	Medial orbital area		Medial orbital area
192	404	Dorsolateral orbital area		Dorsolateral orbital area
193	405	Prelimbic area		Prelimbic area
194	406	Secondary motor area		Secondary motor area
195	407	Frontal association area 3		Frontal association area 3
196	408	Primary motor area		Primary motor area
197	409	Agranular insular cortex- ventral area		Agranular insular cortex- ventral area
198	410	Agranular insular cortex dorsal area		Agranular insular cortex dorsal area 
199	411	Cingulate area 1		Cingulate area 1
200	412	Claustrum		Claustrum
201	413	Infralimbic area		Infralimbic area
202	414	Dysgranular insular cortex		Dysgranular insular cortex
203	416	Granular insular cortex		Granular insular cortex
204	417	Primary somatosensory area- forelimb representation		Primary somatosensory area- forelimb representation
205	418	Primary somatosensory area- dysgranular zone		Primary somatosensory area- dysgranular zone
206	420	Primary somatosensory area- face representation		Primary somatosensory area- face representation
207	422	Secondary somatosensory area		Secondary somatosensory area
208	423	Primary somatosensory area- hindlimb representation		Primary somatosensory area- hindlimb representation
209	424	Agranular insular cortex- posterior area		Agranular insular cortex- posterior area 
210	425	Primary somatosensory area- barrel field		Primary somatosensory area- barrel field
211	427	Retrosplenial dysgranular area		Retrosplenial dysgranular area
212	429	Primary somatosensory area- trunk representation		Primary somatosensory area- trunk representation
213	430	Retrosplenial granular area		Retrosplenial granular area
214	432	Parietal association cortex- lateral area		Parietal association cortex- lateral area
215	433	Parietal association cortex- medial area		Parietal association cortex- medial area
216	436	Parietal association cortex- posterior area		Parietal association cortex- posterior area 
217	442	Primary visual area		Primary visual area
218	443	Secondary visual area- lateral part		Secondary visual area- lateral part
219	444	Temporal association cortex		Temporal association cortex
220	448	Secondary visual area- medial part		Secondary visual area- medial part
221	500	Endopiriform nucleus		Endopiriform nucleus
222	501	Amygdaloid area- unspecified		Amygdaloid area- unspecified
223	502	Nucleus of the lateral olfactory tract		Nucleus of the lateral olfactory tract
