id	acronym	name	parent
117	15678	VMHvl	ventrolateral_part_of_VMH	15675
118	15679	VMHsh	shell_of_VMH	15675
119	15680	THyB-Ds	superficial_stratum_of_THyB-D	15669
120	15681	ABass	shell_part_of_the_anterobasal_nucleus	15680
121	15682	SbO	suboptic_nucleus	15680
122	15683	Tu	tuberal_nucleus	15680
123	15684	THyB-I	intermediate_part_of_THyB	15666
124	15685	THyB-Iv	ventricular_zone_of_THyB-I	15684
125	15686	THyB-Im	mantle_zone_of_THyB-I	15684
126	15687	THyB-Ip	periventricular_stratum_of_THyB-I	15686
127	15688	Arcp	periventricular_part_of_the_arcuate_nucleus	15687
128	15689	ME	median_eminence	15687
129	15690	Inf	infundibulum	15687
130	15691	NHy	neurohypophysis	15687
131	15692	T-DMHp	periventricular_domain_associated_to_T-DMH	15687
132	15693	THyB-Ii	intermediate_stratum_of_THyB-I	15686
133	15694	T-DMH	dorsomedial_nucleus,_terminal_part	15693
134	15695	T-DMHc	core_of_T-DMH	15694
135	15696	T-DMHs	shell_of_T-DMH	15694
136	15697	Arci	intermediate_part_of_the_arcuate_nucleus	15693
137	15698	PMV	ventral_premammillary_nucleus_(migrated)	15693
138	15699	THyB-Is	superficial_stratum_of_THyB-I	15686
139	15700	Arcs	superficial_part_of_arcuate_nucleus	15699
140	15701	MTu	medial_tuberal_nucleus	15699
141	15702	THyB-V	ventral_part_of_THyB	15666
142	15703	THyB-Vv	ventricular_zone_of_THyB-V	15702
143	15704	T-HVO	hypothalamic_ventricular_organ,_terminal_part	15703
144	15705	THyB-Vm	mantle_zone_of_THyB-V	15702
145	15706	THyB-Vp	periventricular_stratum_of_THyB-V	15705
146	15707	VTMp	ventral_tuberomammillary_nucleus,_pervientricular_part_(histaminergic)	15706
147	15708	THyB-Vi	intermediate_stratum_of_THyB-V	15705
148	15709	VTMi	ventral_tuberomammillary_nucleus,_intermediate_part_(histaminergic)	15708
149	15710	THyB-Vs	superficial_stratum_of_THyB-V	15705
150	15711	VTMs	ventral_tuberomammillary_nucleus,_superficial_part_(histaminergic)	15710
151	15712	THyB-P	perimammillary_part_of_THyB	15666
152	15713	THyB-Pv	ventricular_zone_of_THyB-P	15712
153	15714	MRO	mammillary_recess_organ	15713
154	15715	THyB-Pm	mantle_zone_of_THyB-P	15712
155	15716	THyB-Pp	periventricular_stratum_of_THyB-P	15715
156	15717	PPeM	periventricular_perimammillary_area	15716
157	15718	THyB-Pi	intermediate_stratum_of_THyB-P	15715
158	15719	PMD	dorsal_premammillary_nucleus	15718
159	15720	THyB-Ps	superficial_stratum_of_THyB-P	15715
160	15721	Te	terete_nucleus	15720
161	15722	THyB-M	mammillary_part_of_THyB	15666
162	15723	Mam	mammillary_area	15722
163	15724	Mamv	ventricular_zone_of_Mam	15723
164	15725	Mamm	mantle_zone_of_Mam	15723
165	15726	Mamp	periventricular_stratum_of_Mam	15725
166	15727	MnM	median_mammillary_nucleus	15726
167	15728	Mami	intermediate_stratum_of_Mam	15725
168	15729	MM	medial_mammillary_nucleus	15728
169	15730	MMm	medial_part_of_MM	15729
170	15731	MMl	lateral_part_of_MM	15729
171	15732	MMp	posterior_part_of_MM	15729
172	15733	Mams	superficial_stratum_of_Mam	15725
173	15734	LM	lateral_mammillary_nucleus	15733
174	15735	VTMm	ventral_tuberomammillary_nucleus,_migrated_part_(histaminergic)	15733
175	15736	THyF	floor_of_terminal_hypothalamus	15622
176	15737	MamF	mammillary_floor	15736
177	15738	CSP	caudal_secondary_prosencephalon	15567
178	15739	Tel	telencephalic_vesicle	15738
179	15740	TelR	roof_plate_of_evaginated_telencephalic_vesicle	15739
180	15741	CSCom	caudal_septocommissural_area	15740
181	15742	CSComv	ventricular_zone_of_CSCom	15741
182	15743	SFOe	subfornical_organ,_circumventricular_ependymal_specialization	15742
183	15744	CSComm	mantle_zone_of_CSCom	15741
184	15745	CSComp	periventricular_stratum_of_CSCom	15744
185	15746	SFOp	subfornical_organ,_periventricular_part	15745
186	15747	CSComi	intermediate_stratum_of_CSCom	15744
187	15748	CSComs	superficial_stratum_of_CSCom	15744
188	15749	TCh	telencephalic_choroidal_formation	15740
189	15750	TelA	alar_plate_of_evaginated_telencephalic_vesicle	15739
190	15751	SPall	subpallium	15750
191	20534	SPallv	ventricular_zone_of_SPall	15751
192	20536	SPallm	mantle_zone_of_SPall	15751
193	15752	SeSPall	subpallial_septum	15751
194	15753	DgSe	diagonal_part_of_septum	15752
195	15754	DgSev	ventricular_zone_of_DgSe	15753
196	15755	DgSem	mantle_zone_of_DgSe	15753
197	15756	DgSep	periventricular_stratum_of_DgSe	15755
198	15757	LSV	lateral_septal_nucleus,_ventral_part	15756
199	15758	MnSC	median_supracommissural_nucleus	15756
200	15759	DgSei	intermediate_stratum_of_DgSe	15755
201	15760	LSIV	lateral_septal_nucleus,_intermedio-ventral_part	15759
202	15761	SHy	septohypothalamic_nucleus	15759
203	15762	DgSes	superficial_stratum_of_DgSe	15755
204	15763	VDB	vertical_nucleus_of_the_diagonal_band	15762
205	15764	MS	medial_septal_nucleus	15762
206	15765	PalSe	pallidal_septum	15752
207	15766	PalSev	ventricular_zone_of_PalSe	15765
208	15767	PalSem	mantle_zone_of_PalSe	15765
209	15768	PalSep	periventricular_stratum_of_PalSe	15767
210	15769	LSIp	lateral_septal_nucleus,_intermediate_part,_periventricular	15768
211	15770	PalSei	intermediate_stratum_of_PalSe	15767
212	15771	LSII	lateral_septal_nucleus,_intermedio-intermediate_part	15770
213	15772	Ld	lambdoid_septal_zone	15770
214	15773	PalSes	superficial_stratum_of_PalSe	15767
215	15774	StrSe	striatal_septum	15752
216	15775	StrSev	ventricular_zone_of_StrSe	15774
217	15776	StrSem	mantle_zone_of_StrSe	15774
218	15777	StrSep	periventricular_part_of_StrSe	15776
219	15778	LSD	lateral_septal_nucleus,_dorsal_part	15777
220	15779	TS	triangular_septal_nucleus	15777
221	15780	SFi	septofimbrial_nucleus	15777
222	15781	StrSei	intermediate_part_of_StrSe	15776
223	15782	LSID	lateral_septal_nucleus,_intermedio-dorsal_part	15781
224	15783	StrSes	superficial_part_of_StrSe	15776
225	15784	PaSe	paraseptal_subpallium	15751
226	15785	SeDg	septodiagonal_transition_area	15784
227	15786	SeDgv	ventricular_zone_of_SeDg	15785
228	15787	SeDgm	mantle_zone_of_SeDg	15785
229	15788	SeDgp	periventricular_stratum_of_SeDg	15787
230	15789	BSTMS	bed_nucleus_of_the_stria_terminalis,_medioseptal_division	15788
231	15790	BSTMv	nucleus_of_the_stria_terminalis,_medial_division,_ventral_part	15789
232	15791	BSTMa	nucleus_of_the_stria_terminalis,_medial_division,_anterior_part	15789
233	15792	SeDgi	intermediate_stratum_of_SeDg	15787
234	15793	SIBT	substantia_innominata/basal_nucleus,_transitional_part	15792
235	15794	BAC	bed_nucleus_of_the_anterior_commissure	15792
236	15795	SeDgs	superficial_stratum_of_SeDg	15787
237	15796	HDBT	horizontal_nucleus_of_the_diagonal_band,_transitional_part	15795
238	15797	SePal	septopallidal_transition_area	15784
239	15798	SePalv	ventricular_zone_of_SePal	15797
240	15799	SePalm	mantle_zone_of_SePal	15797
241	15800	SePalp	periventricular_stratum_of_SePal	15799
242	15801	BSTLS	bed_nucleus_of_the_stria_terminalis,_lateroseptal_division	15800
243	15802	BSTLi	nucleus_of_the_stria_terminalis,_lateral_division,_intermediate_part	15801
244	15803	SePali	intermediate_stratum_of_SePal	15799
245	15804	SePalCo	septopallidal_core_nucleus	15803
246	15805	SePalSh	septopallidal_shell_area	15803
247	15806	SePals	superficial_stratum_of_SePal	15799
248	15807	TuSePal	septopallidal_part_of_the_olfactory_tuberculum	15806
249	15808	ICjM	island_of_Calleja_major	15806
250	15809	SeStr	septostriatal_transition_area_(accumbens)	15784
251	15810	SeStrv	ventricular_zone_of_SeStr	15809
252	15811	SeStrm	mantle_zone_of_SeStr	15809
253	15812	SeStrp	periventricular_stratum_of_SeStr	15811
254	15813	AcbCo	accumbens_nucleus,_core_domain	15812
255	15814	SeStri	intermediate_stratum_of_SeStr	15811
256	15815	AcbSh	accumbens_nucleus,_shell_domain	15814
257	15816	SeStrs	superficial_stratum_of_SeStr	15811
258	15817	TuSeStr	septostriatal_part_of_the_olfactory_tuberculum	15816
259	15818	CSPall	central_subpallium_(classic_basal_ganglia)	15751
260	20538	CSPallv	ventricular_zone_of_CSPall	15818
261	20540	CSPallm	mantle_zone_of_CSPall	15818
262	20542	CSPallp	periventricular_stratum_of_CSPall	20540
263	20544	CSPalli	intermediate_stratum_of_CSPall	20540
264	20546	CSPalls	superficial_stratum_of_CSPall	20540
265	15819	Dg	diagonal_domain	15818
266	15820	Dgv	ventricular_zone_of_Dg	15819
267	15821	Dgm	mantle_zone_of_Dg	15819
268	15822	Dgp	periventricular_stratum_of_Dg	15821
269	15823	BSTMC	bed_nucleus_of_the_stria_terminalis,_mediocentral_division	15822
270	15824	BSTMpm	posteromedial_part_of_BSTMC	15823
271	15825	BSTMpi	posterointermediate_part_of_BSTMC	15823
272	15826	BSTMpl	posterolateral_part_of_BSTMC	15823
273	15827	EADg	extended_amygdala,_diagonal_part	15822
274	15828	Dgi	intermediate_stratum_of_Dg	15821
275	15829	SIB	substantia_innominata/basal_nucleus	15828
276	15830	IPal	internal_globus_pallidus	15828
277	15831	Dgs	superficial_stratum_of_Dg	15821
278	15832	HDB	horizontal_nucleus_of_the_diagonal_band	15831
279	15833	MCDB	magnocellular_diagonal_band_nucleus	15831
280	15834	Pal	pallidum_(globus_pallidus_complex)	15818
281	15835	Palv	ventricular_zone_of_Pal	15834
282	15836	Palm	mantle_zone_of_Pal	15834
283	15837	Palp	periventricular_stratum_of_Pal	15836
284	15838	BSTLC	bed_nucleus_of_the_stria_terminalis,_laterocentral_division	15837
285	15839	BSTLp	posterior_part_of_BSTLC	15838
286	15840	BSTLj	juxtacapsular_part_of_BSTLC	15838
287	15841	BSTLd	dorsal_part_of_BSTLC	15838
288	15842	Pali	intermediate_stratum_of_Pal	15836
289	15843	EPal	external_globus_pallidum	15842
290	15844	VPal	ventral_pallidum	15842
291	15845	Pals	superficial_stratum_of_Pal	15836
292	15846	TuPal	pallidal_part_of_olfactory_tuberculum	15845
293	15847	TuPal1	plexiform_layer_of_TuPal	15846
294	15848	TuPal2	corticoid_layer_of_TuPal	15846
295	15849	TuPal3	polymorph_layer_of_TuPal	15846
296	15850	ICjPal	pallidal_islands_of_Calleja	15845
297	15851	Str	striatum_(corpus_striatum)	15818
298	15852	Strv	ventricular_zone_of_Str	15851
299	15853	Strm	mantle_zone_of_Str	15851
300	15854	Strp	periventricular_stratum_of_Str	15853
301	15855	Cau	caudate_nucleus	15854
